Date,Open,High,Low,Close,Adj Close,Volume
2022-03-18,5.600000,5.600000,5.450000,5.560000,5.560000,65500
2022-03-21,5.700000,5.700000,5.500000,5.560000,5.560000,66400
2022-03-22,5.570000,5.570000,5.420000,5.430000,5.430000,187300
2022-03-23,5.300000,5.550000,5.300000,5.450000,5.450000,68600
2022-03-24,5.340000,5.610000,5.340000,5.610000,5.610000,186200
2022-03-25,5.560000,5.630000,5.530000,5.610000,5.610000,55500
2022-03-28,5.590000,5.660000,5.540000,5.560000,5.560000,67300
2022-03-29,5.780000,5.800000,5.670000,5.710000,5.710000,103300
2022-03-30,5.860000,5.880000,5.790000,5.800000,5.800000,43100
2022-03-31,5.820000,5.890000,5.740000,5.750000,5.750000,118900
2022-04-01,5.750000,5.750000,5.680000,5.720000,5.720000,53100
2022-04-04,5.720000,5.890000,5.720000,5.850000,5.850000,53500
2022-04-05,5.890000,5.890000,5.590000,5.590000,5.590000,69800
2022-04-06,5.590000,5.590000,5.380000,5.430000,5.430000,59700
2022-04-07,5.460000,5.460000,5.280000,5.330000,5.330000,130400
2022-04-08,5.010000,5.300000,5.010000,5.160000,5.160000,165300
2022-04-11,4.950000,5.140000,4.840000,4.920000,4.920000,113100
2022-04-12,4.890000,4.960000,4.830000,4.830000,4.830000,190200
2022-04-13,5.000000,5.140000,4.950000,5.140000,5.140000,149700
2022-04-14,5.270000,5.400000,5.270000,5.290000,5.290000,130300
2022-04-18,5.290000,5.320000,5.220000,5.230000,5.230000,134100
2022-04-19,5.420000,5.420000,5.250000,5.370000,5.370000,259500
2022-04-20,5.210000,5.260000,5.170000,5.210000,5.210000,114800
2022-04-21,5.410000,5.410000,5.220000,5.230000,5.230000,129300
2022-04-22,5.320000,5.340000,5.190000,5.200000,5.200000,76600
2022-04-25,5.210000,5.260000,5.150000,5.260000,5.260000,242400
2022-04-26,5.100000,5.260000,5.100000,5.120000,5.120000,302400
2022-04-27,5.240000,5.490000,5.240000,5.400000,5.400000,452400
2022-04-28,5.400000,5.500000,5.330000,5.480000,5.480000,210300
2022-04-29,5.480000,5.500000,5.350000,5.370000,5.370000,115700
2022-05-02,5.330000,5.370000,5.270000,5.360000,5.360000,261200
2022-05-03,5.160000,5.400000,5.160000,5.370000,5.370000,297500
2022-05-04,5.370000,5.570000,5.310000,5.560000,5.560000,178900
2022-05-05,5.220000,5.540000,5.220000,5.300000,5.300000,138700
2022-05-06,5.290000,5.440000,5.290000,5.380000,5.380000,154200
2022-05-09,5.360000,5.360000,5.050000,5.090000,5.090000,145600
2022-05-10,5.020000,5.230000,5.020000,5.190000,5.190000,341800
2022-05-11,5.010000,5.320000,5.010000,5.170000,5.170000,111100
2022-05-12,5.260000,5.260000,5.060000,5.110000,5.110000,181500
2022-05-13,5.170000,5.440000,5.170000,5.440000,5.440000,114700
